date,intraday_return,intraday_range,upper_shadow,lower_shadow,close_to_close_return,open_to_open_return,overnight_gap,deviation_ma5,deviation_ma10,deviation_ma20,deviation_ma60,volatility_5d,volatility_10d,volatility_20d,volatility_60d,realized_vol_5d,realized_vol_10d,realized_vol_20d,realized_vol_60d,pctrank_20d,pctrank_60d,zscore_20d,zscore_60d,rsi_6,rsi_14,activity_proxy,weekday,month,intraday_return_lag1,intraday_return_lag2,intraday_return_lag3,intraday_return_lag4,intraday_return_lag5,close_to_close_return_lag1,close_to_close_return_lag2,close_to_close_return_lag3,close_to_close_return_lag4,close_to_close_return_lag5,overnight_gap_lag1,overnight_gap_lag2,overnight_gap_lag3,overnight_gap_lag4,overnight_gap_lag5,intraday_range_lag1,intraday_range_lag2,intraday_range_lag3,intraday_range_lag4,intraday_range_lag5,zscore_20d_lag1,zscore_20d_lag2,zscore_20d_lag3,zscore_20d_lag4,zscore_20d_lag5,intraday_return_mean_3d,intraday_return_std_3d,win_rate_3d,intraday_return_mean_5d,intraday_return_std_5d,win_rate_5d,intraday_return_mean_10d,intraday_return_std_10d,win_rate_10d,streak
2022-09-19 15:00:00,0.0008737439930100294,0.07951070336391439,0.03189165574486677,0.046745303626037585,,,,,,,,,,,,,,,,,,,,,,1.8215902140672786,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2022-09-20 15:00:00,-0.0352787456445994,0.7469512195121952,0.691637630662021,0.020034843205574793,-0.0331732867743344,0.003058103975535076,0.00218245307725887,,,,,,,,,,,,,,,,,,,16.544969512195124,1,9,0.0008737439930100294,,,,,,,,,,,,,,,0.07951070336391439,,,,,,,,,,,,,,,,,,,-1
2022-09-21 15:00:00,-0.010222222222222242,0.06711111111111102,0.0342222222222222,0.022666666666666578,0.005417607223476395,-0.020034843205574915,0.015801354401805936,,,,,,,,,,,,,,,,,,,1.4945644444444426,2,9,-0.0352787456445994,0.0008737439930100294,,,,-0.0331732867743344,,,,,0.00218245307725887,,,,,0.7469512195121952,0.07951070336391439,,,,,,,,,-0.014875741291270539,0.01852004472305241,0.3333333333333333,,,,,,,-2
2022-09-22 15:00:00,-0.021519543258673626,0.06763285024154601,0.03645147123408001,0.009661835748792378,0.00044903457566247695,0.01200000000000001,0.0224517287831163,,,,,,,,,,,,,,,,,,,1.5068599033816452,3,9,-0.010222222222222242,-0.0352787456445994,0.0008737439930100294,,,0.005417607223476395,-0.0331732867743344,,,,0.015801354401805936,0.00218245307725887,,,,0.06711111111111102,0.7469512195121952,0.07951070336391439,,,,,,,,-0.02234017037516509,0.012548402812799508,0.0,,,,,,,-3
2022-09-23 15:00:00,-0.003973509933774828,0.07505518763796906,0.0512141280353201,0.019867549668874142,0.012567324955116588,-0.005270092226614009,0.016606822262118376,0.005616474993313616,,,,,,,,0.20725221437334715,,,,,,,,,,1.693245033112582,4,9,-0.021519543258673626,-0.010222222222222242,-0.0352787456445994,0.0008737439930100294,,0.00044903457566247695,0.005417607223476395,-0.0331732867743344,,,0.0224517287831163,0.015801354401805936,0.00218245307725887,,,0.06763285024154601,0.06711111111111102,0.7469512195121952,0.07951070336391439,,,,,,,-0.011905091804890232,0.008893247937835571,0.0,-0.014024055413252013,0.014537503414170483,0.2,,,,-4
2022-09-26 15:00:00,0.01642105263157897,0.0534736842105263,0.008421052631578918,0.02863157894736841,0.07003546099290792,0.04856512141280356,0.05274822695035467,0.06437389770723108,,,,0.03735435003854792,,,,0.20204481054266954,,,,,,,,,,1.2908547368421048,0,9,-0.003973509933774828,-0.021519543258673626,-0.010222222222222242,-0.0352787456445994,0.0008737439930100294,0.012567324955116588,0.00044903457566247695,0.005417607223476395,-0.0331732867743344,,0.016606822262118376,0.0224517287831163,0.015801354401805936,0.00218245307725887,,0.07505518763796906,0.06763285024154601,0.06711111111111102,0.7469512195121952,0.07951070336391439,,,,,,-0.0030240001869564943,0.018988111562141727,0.3333333333333333,-0.010914593685538227,0.019377644578222736,0.2,,,,1
2022-09-27 15:00:00,-0.031327287716405666,0.2802967848309975,0.23948887056883753,0.009480626545754345,-0.026512013256006606,0.02147368421052631,0.004971002485501284,0.023965141612200466,,,,0.035452779009181694,,,,0.10871392360642998,,,,,,,,58.702064896755154,,6.586974443528441,1,9,0.01642105263157897,-0.003973509933774828,-0.021519543258673626,-0.010222222222222242,-0.0352787456445994,0.07003546099290792,0.012567324955116588,0.00044903457566247695,0.005417607223476395,-0.0331732867743344,0.05274822695035467,0.016606822262118376,0.0224517287831163,0.015801354401805936,0.00218245307725887,0.0534736842105263,0.07505518763796906,0.06763285024154601,0.06711111111111102,0.7469512195121952,,,,,,-0.006293248339533841,0.02395854526468812,0.3333333333333333,-0.01012430209989948,0.018179080082347608,0.2,,,,-1
2022-09-28 15:00:00,0.04724080267558524,0.05351170568561877,0.0,0.0062709030100335334,0.06595744680851068,-0.014014839241549892,0.01787234042553199,0.06568535693014552,,,,0.04217600404913192,,,,0.10599404252133153,,,,,,,,84.688995215311,,1.3404682274247501,2,9,-0.031327287716405666,0.01642105263157897,-0.003973509933774828,-0.021519543258673626,-0.010222222222222242,-0.026512013256006606,0.07003546099290792,0.012567324955116588,0.00044903457566247695,0.005417607223476395,0.004971002485501284,0.05274822695035467,0.016606822262118376,0.0224517287831163,0.015801354401805936,0.2802967848309975,0.0534736842105263,0.07505518763796906,0.06763285024154601,0.06711111111111102,,,,,,0.010778189196919516,0.039586836672910304,0.6666666666666666,0.0013683028796620173,0.031433507686990665,0.4,,,,1
2022-09-29 15:00:00,-0.03439999999999998,0.054399999999999976,0.02,0.0,-0.0363273453093812,0.04515050167224066,-0.0019960079840319646,0.010972443253203805,,,,0.0499155222656463,,,,0.10334747247302231,,,,,,,,68.8128772635815,,1.3132159999999995,3,9,0.04724080267558524,-0.031327287716405666,0.01642105263157897,-0.003973509933774828,-0.021519543258673626,0.06595744680851068,-0.026512013256006606,0.07003546099290792,0.012567324955116588,0.00044903457566247695,0.01787234042553199,0.004971002485501284,0.05274822695035467,0.016606822262118376,0.0224517287831163,0.05351170568561877,0.2802967848309975,0.0534736842105263,0.07505518763796906,0.06763285024154601,,,,,,-0.006162161680273468,0.04627383538987529,0.3333333333333333,-0.0012077884686032534,0.034185517324221086,0.4,,,,-1
2022-09-30 15:00:00,-0.0486508585445626,0.09648405560098117,0.047833197056418565,0.0,-0.036039768019884066,-0.021599999999999953,0.013256006628003325,-0.03122398001665279,0.0018512937529598856,,,0.055455594347629596,,,,0.10763324606562477,0.15744273021948593,,,,,,,58.49056603773583,,2.245183973834832,4,9,-0.03439999999999998,0.04724080267558524,-0.031327287716405666,0.01642105263157897,-0.003973509933774828,-0.0363273453093812,0.06595744680851068,-0.026512013256006606,0.07003546099290792,0.012567324955116588,-0.0019960079840319646,0.01787234042553199,0.004971002485501284,0.05274822695035467,0.016606822262118376,0.054399999999999976,0.05351170568561877,0.2802967848309975,0.0534736842105263,0.07505518763796906,,,,,,-0.011936685289659113,0.051742178671967065,0.3333333333333333,-0.010143258190760809,0.04036886475407126,0.4,-0.01208365680200641,0.028677494962471684,0.3,-2
2022-10-10 15:00:00,-0.0040832993058390315,0.06410779910167416,0.012249897917517384,0.04777460187831775,0.04813064030941128,0.0012264922322158256,0.05242801890846579,0.013294557540506867,0.04342245989304815,,,0.04985506136049641,0.04174552090918025,,,0.10976006904385431,0.15590243979326193,,,,,,,63.71814092953524,,1.563589220089833,0,10,-0.0486508585445626,-0.03439999999999998,0.04724080267558524,-0.031327287716405666,0.01642105263157897,-0.036039768019884066,-0.0363273453093812,0.06595744680851068,-0.026512013256006606,0.07003546099290792,0.013256006628003325,-0.0019960079840319646,0.01787234042553199,0.004971002485501284,0.05274822695035467,0.09648405560098117,0.054399999999999976,0.05351170568561877,0.2802967848309975,0.0534736842105263,,,,,,-0.0290447192834672,0.022761285284204288,0.0,-0.014244128578244409,0.03796562843110973,0.2,-0.012579361131891318,0.028470730999436405,0.2,-3
2022-10-11 15:00:00,-0.029578606158833082,0.03768233387358184,0.0036466774716369475,0.004457050243111808,-0.018040180401804107,0.007758268681094416,0.011890118901188977,-0.008692052980132486,0.01676926342602418,,,0.0487308329912618,0.04037722744636681,,,0.06123717885237119,0.08497555122940058,,,,,,,48.28209764918625,,0.902491896272285,1,10,-0.0040832993058390315,-0.0486508585445626,-0.03439999999999998,0.04724080267558524,-0.031327287716405666,0.04813064030941128,-0.036039768019884066,-0.0363273453093812,0.06595744680851068,-0.026512013256006606,0.05242801890846579,0.013256006628003325,-0.0019960079840319646,0.01787234042553199,0.004971002485501284,0.06410779910167416,0.09648405560098117,0.054399999999999976,0.05351170568561877,0.2802967848309975,,,,,,-0.027437588003078234,0.022360787177148702,0.0,-0.01389439226672989,0.03777650085624735,0.2,-0.012009347183314685,0.028019250977368588,0.2,-4
2022-10-12 15:00:00,-0.023064250411861706,0.07537067545304785,0.03088962108731466,0.02141680395387148,-0.009603340292275608,-0.01620745542949753,0.013778705636743292,-0.007282162886080167,0.0008438818565400664,,,0.03469317273216492,0.040784622186133324,,,0.06560897280585701,0.08580150766359426,,,,,,,52.148437499999986,,1.7877924217462948,2,10,-0.029578606158833082,-0.0040832993058390315,-0.0486508585445626,-0.03439999999999998,0.04724080267558524,-0.018040180401804107,0.04813064030941128,-0.036039768019884066,-0.0363273453093812,0.06595744680851068,0.011890118901188977,0.05242801890846579,0.013256006628003325,-0.0019960079840319646,0.01787234042553199,0.03768233387358184,0.06410779910167416,0.09648405560098117,0.054399999999999976,0.05351170568561877,,,,,,-0.01890871862551127,0.01324590507298796,0.0,-0.027955402884219282,0.016326896579030616,0.0,-0.013293550002278632,0.028221802306724504,0.2,-5
2022-10-13 15:00:00,-0.013283520132835213,0.03196347031963469,0.018679950186799472,0.0,0.002107925801011934,-0.00782537067545308,0.015598650927487395,-0.002099076406381222,-0.00331250786196474,,,0.031628258358725694,0.04075810201419917,,,0.061121666869783944,0.08223456967140313,,,,,,,32.32044198895028,,0.7597716894977166,3,10,-0.023064250411861706,-0.029578606158833082,-0.0040832993058390315,-0.0486508585445626,-0.03439999999999998,-0.009603340292275608,-0.018040180401804107,0.04813064030941128,-0.036039768019884066,-0.0363273453093812,0.013778705636743292,0.011890118901188977,0.05242801890846579,0.013256006628003325,-0.0019960079840319646,0.07537067545304785,0.03768233387358184,0.06410779910167416,0.09648405560098117,0.054399999999999976,,,,,,-0.021975458901176664,0.008201924003791598,0.0,-0.023732106910786324,0.016961871762124336,0.0,-0.01246994768969479,0.028074862336279992,0.2,-6
2022-10-14 15:00:00,-0.05106739221431556,0.05734616994558397,0.005860192549183783,0.00041858518208461964,-0.046276819520403745,-0.00830220008302196,0.005048380311316828,-0.04345991561181425,-0.04987426655490365,,,0.0345255444615152,0.04401887803850737,,,0.053294089738704496,0.08046366790216462,,,,,,,30.70866141732286,48.75776397515529,1.3000376726663887,4,10,-0.013283520132835213,-0.023064250411861706,-0.029578606158833082,-0.0040832993058390315,-0.0486508585445626,0.002107925801011934,-0.009603340292275608,-0.018040180401804107,0.04813064030941128,-0.036039768019884066,0.015598650927487395,0.013778705636743292,0.011890118901188977,0.05242801890846579,0.013256006628003325,0.03196347031963469,0.07537067545304785,0.03768233387358184,0.06410779910167416,0.09648405560098117,,,,,,-0.029138387586337494,0.019610624777864148,0.0,-0.024215413644736918,0.017860053802712265,0.0,-0.01717933591774886,0.03034902698655404,0.2,-7
